Nama,Sentimen,Ulasan
ズﾑﾶﾉズﾑ乙乇,Positif,maraton buat bisa sampai ke stadion dari start awal sampai ke stadion nya 😂
゚ilham,Positif,"Well keren bgt sih, tanjung priokKhususnya Jakarta Utara harus bangga atas stadion yg termegah di Indonesia ini. Lockey menunggu secret number konser disini :)"
ℕ𝔼𝕆 𝕁𝕀𝔹𝕝𝔼𝕊𝟚𝟠🔱,Negatif,padahal dibngun untuk 🏆 dunia u 20 bukan
•fajar Maulana•,Positif,Seru pas kesana tempatnya rapi dan bersih
•HeyByy,Positif,Thejak harus rayakan dan mengucapkan terimakasih pada seluruh karyawan yng membangun stadion jis 😊
•itz_ChocoWhite Offcial•,Positif,"Bangga & bahagia dengan stadion untuk pemain jakarta terus semangat & tambah giat lgi mabolnya team persija, salam satu jiwa mabol thejak."
•itz_ChocoWhite Offcial•,Positif,"Bangga & bahagia dengan stadion untuk pemain jakarta terus semangat & tambah giat lgi mabolnya team , salam satu jiwa mabol thejak."
•Khalqin©®7•,Positif,kayaknya dipake tuh pas piala dunia 2026
ᵢ.ₘᵣₜyₓz_,Positif,masyaallah ❤️
ㅤㅤ,Negatif,tapi itu kan belum standar pssi🗿
⭐ Z A K I ⭐,Positif,keren😁
ありーえっ,Negatif,yg bikin stadion jis bukan standar FIFA ya tu lah ya bnyk rumah....
❤️.pejuang rupiah.❤️,Positif,cocok untuk piala dunia u20
❌❌❌,Negatif,Yg bilang kerja anis ngakak gue😂😂
Aa Ndut,Positif,*MANTUL BENER DAH NI STADION*Semoga membantu perekonomian warga jakarta utara dn berkah buat semuanya.. Aamiin
aaannnddhikaaa,Positif,sumpah nih stadion bagus
AAN,Negatif,"jangan sampe di akuin sama pak jokowi ..
😂😂😂"
Aan Sutianah,Positif,"Stadion termegah dan termewah ,, kerenMksih buat pak Anies Baswedan"
Aan Wishnu,Positif,Stadion kebanggaan warga Jakarta
Abah gaul,Negatif,semoag abu janda ade armando deni siregar bisa nonton supaya tau bahwa lihat kenyataan itu sakiiiit banget 😅😅😅😅
Abanda jabulani,Positif,"Stadion kelas Dunia Fasilitas nya mantap baru kaliini ke stadion ada lif nya., Ramah disabilitas akses nya, Akses transportasi umum sangat mudah di area stadium ada Halte busway, parkir luas"
abbby,Negatif,"ni bangunan buat apa?
stadion dekat sm penduduk . gakebayang si kl event2 trntu lg rame bgt kek gmn😂😂😂"
Abc,Negatif,Bukan standart pssi 😂
ABC cabang jakarta,Negatif,ini yg roboh itu ya klo gk salah
abcde,Negatif,di atas fifa masih ada pssi
abd rahim abu,Positif,satu satunya stadion yg mirip ama stadion katar
Abdilla Fakih,Positif,"Waktu Solat Idul Fitri maren, Seru, Rame.. Stadion yg Kerece (Keren n Kece)"
Abdu Rahman,Positif,Lokasi nya dekat ke pantai ancol
Abdul Basith,Positif,"Prestasi anak bangsa. Gak perlu asing, aseng. Kalau serius menjalankan amanah, InsyaAllah Cita-cita terwujud. JIS pemersatu umat yang beragam. Moga ARB lanjut ke '24 karena telah memenuhi 23 janji. Kalaupun gak jadi gak apa-apa karena beratnya beban utang."
Abdul Ghofur,Positif,Akhirnya Indonesia punya stadion megah dan mewah
Abdul Majid,Positif,Sangat menyenangkan
Abdul Malik,Positif,Stadion sepakbola yang sangat bagus dan berkualitas internasional. Banyak fasilitas yang masih dalam tahap perampungan. Semoga cepat selesai
Abdul Qodir,Positif,Stadion terbaik di dunia
Abdul Rohim,Positif,Sangat bagus dan megah stadion nya
Abdul Rohman (abdrohmn),Positif,Megah walupun belom jadi
Abdul Tatang (Tatang Doel),Positif,"Stadion yg sangat bagus dan nyaman,  serta bersih. Dan tertata rapi."
Abdul Wahab Nur Bachtiar,Positif,Bangga dengan hasil karya anak bangsa.Bismillah semoga Pak Anis Presiden 2024
Abelio meda,Positif,"keren,mirip di Eropa desain nya tanpa trek lari dengan kapasitas besar dan atap yang bisa terbuka dan tertutup,terintegrasi juga dengan Transjakarta memudahkan akses untuk menuju kesini."
abid buldani,Negatif,sedihhhh nya😂😂
abid buldani,Negatif,buat konser dewa aja udah kewalahan 😂😂😂
Abimana💫✨,Positif,"walupun sy orng lombok sy ikut bangga dngn adanya stadion jis stara internasional, ,
smoga sehat sllu pk anies"
Abimanyu,Positif,"Terimakasih jokowi Stadion yg dulu namanya Stadion BMW Dibangun era Jokowi-Ahok. Dengan pembebasan lahan yg luar biasa, Dilanjutkan era Ahok-Djarot. Peletakan batu pertama oleh Djarot. Dan Nama Stadion di ganti JIS. Menghapus Jejak Jokowi ahok djarot. Mereka tahunya anis meresmikan. Tanpa tau yg membangun, merancang, membebaskan lahan. Terimakasih jokowi ahok stadion yg kalian bangun sudah jadi."
AbR,Negatif,Parkir nya susah
Abrag Stone,Positif,"Bukan sekedar lapang sepak bola,tapi lebih ke gengsi nya kota Jakarta sebagai mantan ibu kota,,dengan peralatan yg serba canggih  menjadi kebanggaan Indonesia di mata dunia,,stadion bertaraf internasional,,,Jakarta jaya,, Indonesia hebat,,,,,"
abrn.prstyo,Negatif,Besok Ada info jual tiket ON THE SPOT kah di JIS ?????
abrn.prstyo,Negatif,Btuh tiket 2
absahal paisal,Positif,bagus stadium nya
Abu Abdillah,Positif,Semoga tambah barokah berfungsi sebagaimana harapan dan keniatan.amiiin...
Abu Rasya,Positif,Stadionnya bagus dengan fasilitas yang lengkap. Maen malem juga enak dengan lighting yang sempurna...
Abu Zahra,Positif,Bangga bisa mengunjungi stadion bola bergengsi milik warga Jakarta ^_^
abyan,Positif,kaesang: coba aja nama nya jawabarat internasional stadium pasti auto standar fifa
acangtasik,Positif,Masyallah barakallah pa Anis..🤲🏼 sama yg motret  sempurna mantap 👍🏻👏👏
Achink Salim,Positif,Stadion bertaraf internasional yang terletak di Jakarta Utara.
Achmad “Fery” Maulana Safari,Positif,"Stadion terbaik di Indonesia, kebanggaan warga Jakarta khususnya wilayah Jakarta Utara. Semoga bisa lebih bermanfaat untuk masyarakat."
achmad afandi,Positif,"Alhamdulillah , Lapangan Kebanggaan Masyarakat Jakarta & Indonesia ternyata Jadi Juga dgn sekalian Lama di tunggu.Jagalah kebersihan, kenyamanan & keamanan buat kita semua."
Achmad Andi,Positif,Terlihat megah walau belum 100% jadi
Achmad Faizal,Positif,Indonesia harus bangga punya stadion sebagus ini dan kita harus merawat dan menggunakan fasilitas ini sebaik mungkin
Achmad Fauzi,Positif,Mantap sekali
Achmad Febrizal,Positif,Stadion berkelas Eropa🔥🔥
achmad mazied,Positif,Megah.. thanks pak Anis
Achmad Sayuti,Positif,Berasa di stadion luar negri joosss pokok nya
Acho Akbar,Positif,"Keren, dan Megah"
Achonk Streetpunk,Positif,Saat menonton bola
AD Mustika,Negatif,warga yg tergusur luntang lantung
Adam Juliawan,Negatif,stadion sekeren ini engga standar fifa masa iya?
ADAM KAI,Negatif,"stadion kosmetik, simply akses 2 jalan 1 yg fungsi, GBk ad 6penjuru, byngkn puluhan ribu org kluar bersamaan dgn akses terbatas, tragedy min"
addie0120,Negatif,liat aja rumputnya skarang kek gmn😂😂😂
Ade Koswara,Negatif,"Konser Dewa 19, 4 feb 2023 jangan sampai gagal lagi.."
Ade Riana,Negatif,Sayang sekali gak bisa d pake timnas
Ade Ridwan,Positif,Stadion JIS luar biasa megahnya dan mempunyai kualitas sangat bagus 👍
Ade Ruhiyat,Positif,Megah...
AdeDwi,Negatif,"Indo vs argen main disini aja sih biar dunia internasional tau indonesia jg punya stadion yg bagus, masalah parkir mungkin spy pada naik angkutan umum"
Adek,Negatif,betul kapan timnas main di JIS pak
Adella Almira Amanda,Positif,Berkah selalu rezeki dalam hidupnya pak anies sehat selalu panjang umur Aamiin
adesaputra.77,Negatif,"Benar"" kecewa gue, stadion buat bola malah buat konser dll yg mengawal teriak"" butuh stadion siapa yg make siapa"
Adhi Muhammad,Negatif,Gabut doang sih
adhimas surya,Negatif,"stadionnya keren, sayangnya akomodasi transportasinya belum memadai. masih ada progres disana-sini, mudah2an lekas selesai dan dapat digelar even internasional di JIS."
adhy Kudou,Positif,"karya anies,,layak untuk jd presiden"
Adi,Positif,"masih harus nunggu 2 - 3 tahun lagi kalo mau bener bener sempurna 100%, Belom lagi nanti banyak program PSSI dalam ningkatin sepak bola di Indonesia."
Adi Purnomo,Positif,Stadium boleh bagus....
Adi Riswan,Negatif,"Nonton Dewa19 di JIS, band oke, sound not ok untuk tribun dan kemacetan pasca pulang konser sampe berjam-jam. Nice stadium, but there’s a lot of to be done. Not ready for big events"
Adi Varvya,Negatif,"kok aneh, lapangan rumput di sebelahnya sdh terlihat pd gambar satelit, tp stadionnya tdk di tampakan (progress stadion sdh > 80%, ada apa ini ?)."
Adib Bukhori,Positif,"Sudah cukup baik ,"
Adih Umron,Positif,Marawis SUBULUSSALAM
adinda septiana,Positif,Bagus bgt tempatnya luas bgt😍 harus di jaga dgn baik ngga buang sampah sembarangan✌👍
adipra713,Positif,ayh saya lagi dikerja disitu
Adiriono ADIRIONO,Positif,Indahnya hidup ini
Aditya Eka Fardien,Positif,"Alhamdulillah akhirnya berkunjung ke JIS untuk pertama kalinya, jujur vibes nya kaya di stadion stadion Eropa"
ADITYA JKL MAI,Positif,"Bang coba liat disebelah JIS ini deh  yang Deket rel kereta, bagus banget"
adityaariwibawaa,Negatif,Di larang ngerokok tp yg nge band ngerokok di backstage wkwk 😂
adji mahyudin,Positif,"Bagus, modern, parkir luas, tersedia juga rute angkutan umumnya"
admin laksana karya Indonesia,Positif,Liat city light JIS dari tol cantik sangat
adnanDeTzuyu,Positif,Terima kasih pak Anies Baswedan
Adnannnn,Negatif,yang termasuk standart pssi tu yang ada litasan atletik nya bre
Adrian Rachman,Positif,Stadion dengan kapasitas 82rb yang sangat megah. Hanya saja akses ke lokasi yang cukup padat dan ruas jalan yang bukan termasuk kategori jalur arteri
adrian.tamx,Positif,"anjiirrrr, gw kira ntah stadion di negara mana anjirrrrr😭😭 ternyata di jakarta OMG😭😭"
ADVOKAT PETARUNG.,Positif,mantap pak anis baswedan
Ady Ahmad,Negatif,"stadion ini elit, tpi buat di pakai sulit"
AdyR85,Negatif,stadion bagus tp jarang di pakek timnas
aezakmi,Positif,"jis didanai pakek uang pajak rakyat Jakarta, jdi mohon maap ga ada uang dri presiden 😬"
ロスミタ。,Negatif,jis sama gbk gedean mana?
Afandi M,Negatif,Sayangnya rezim tdk memanfaatkan stadion ini untk ajang world cup U20 atau AFF 2022
Afdhal Muhammad,Positif,"Mantap, stadion khusus bola terbaik di indonesia"
afivyuliee,Negatif,"KNP GK DIPAKE BOLA? POTENSI RUSAKNYA LBH BESAR... MGKN PIHAK STADION GKMAU RUGI KLO DSRUH RENOV TERUS2AN, 😂😂😂"
afri yadi channel,Negatif,Stadion seperti ini gak masuk untuk piala dunia U20 miris skli
Afrial Wahid,Positif,Alhamdulillah sebentar lagi stadion mewah akan siap di pakai indonesia bangga punya stadion J.I.S yg bertaraf internasional..Selain G.B.K..
Afriani Ani,Negatif,Cuma mau ngasih tau katanya bts mau dateng ke sini
afriliya21,Positif,Jakarta persija punya nih bos😎
afroji._maday☑️,Positif,saya bukan pendukung pak anies... tpi bersyukur persija punya stadion walau itu punya pemrov
Agam Ramadhan,Negatif,"Mau tanya, boleh gak kita masuk ke dalam stadion ny??"
Ageng Rahayu,Positif,Stadion yang sangat megah
agh_17,Negatif,belum standar PSSI nih bos😭
Aghnesia Hafaz Kiasatina,Positif,Sangat bangga bisa masuk dan merasakan langsung kemegahan dari bangunan ini. Terasa mewah seperti stadion di luar negeri. Tapi jika mau naik ke lantai 7 harus naik tangga karena blm ada lift :) Semoga bisa selalu terawat dan semakin ditingkatkanlagi fasilitasnya.
Agie Pratama,Negatif,Gw kesini habis dr ancol jalan kaki gw kira deket ternyata lumayan jauh. Sampe sini cuma bisa foto2 aja diluar stadion
agils,Negatif,standar FIFA tapi bukan standar PSSI
Agit Pratama,Negatif,tpi syng GK bisa d pke buat piala dunia u 20 😂
agnw01_,Negatif,Wtb tiket silver?
agp_21,Negatif,sayang parkir area kurang
agues706,Positif,Terimakasih pak Heru😂
Agung • mengikuti           🦟,Positif,"mudah""an pak anis baswedan next presiden"
Agung Asyhari,Negatif,Tempat udah bagus tetapi akses toilet agak sulit bagi orang yang pertama masuk
Agung Betet,Positif,"gokil ngebalap project kereta cepat, kereeen emang pak anies"
Agung Budi Prabowo,Positif,Mantap jakarta punya stadion skala internasional semoga tambah maju di segala bidang olahraga dan bermanfaat bagi masyarakat Jakarta dan Indonesia aminn
Agung Nugroho,Positif,Alhamdulillah sudah hampir selesai
Agung Susilo,Negatif,area parkir susah nya minta ampun🤦‍♂️🤦‍♂️. konser dewa
agung_.smkn_15,Negatif,🙌🙌🙌
agunggrwk,Negatif,Politik - konser - fun football😂😂😂😂😂
agungluphranie,Positif,"mudah""an jgn d rusak oleh suporter yg norak😌"
Agus Abd Latif,Positif,Keren euy
Agus Agus,Positif,Bagus untuk jakut
agus boncu,Negatif,ini klw bkn yg bangun anis pasti dh bisa dipake matchday timnas
Agus Esem,Positif,"Stadion sepakbola baru berstandar internasional di Ibukota.Peresmiannya ditandai dengan pertandingan 4 tim muda yakni Indonesia All Star u20, Bali United u18, Barcelona u18, dan Atletico Madrid u18."
agus hermawan,Positif,"Pertama kali datang sudah terlihat kemegahannya. Pas sudah d dalam stadion, WOW banget 🤠"
Agus Hermawan,Negatif,Tempatnya panas
Agus Muwajar,Negatif,"transfortasi umum nya lebih ditingkatkan lagi, sama dirapihin juga, pernah kesana banyak pedagang yang membuat bagian luar terlihat kumuh"
agus prasetio,Positif,MasyaAllah keren
Agus Rahadi,Positif,"Udah pernah maen ke gbk megah kan,. Cba maen ke sini dijamin kalian ternganga ngeliat stadiun yang super megah kayak bni"
Agus Setiyawan,Negatif,parkir dak ada
AGUS SUSANTO,Positif,Anak Volker tinggal ngelongok klo mo lihat stadion nya 😁👍👍
agus tiantara,Positif,mantap pak anis dan pak jokowi..🥰
Agus Tri,Positif,Stadion bagus terbaik di Indonesia saat ini.
Agus Trianto,Positif,"Tempat pertandingan sepak bola dengan skala Internasional cukup bagus dengan sarana dan prasarana yang cukup baik, mudah dijangkau dengan kendaraan baik sepeda motor maupun mobil, berlokasi di negara Indonesia dan di ibukota Jakarta"
agus umriadi,Positif,Keren bener ni stadionAkhirnya bisa nyobain sholat idul adha disini bareng gubernur kebanggaan warga JKT
Agus Wibowo,Positif,Menyenangkan berada di jakarta
agussubandi_24,Negatif,Buat konser bisa ini..giliran buat pertandingan timnas kaga dapet izin.. apa harga tiketnya kurang yaa buat dapet izin??
Agussupriyadi Adi,Positif,"Mudah""n ad lapangan yg ramah ank, kid's zone."
agustian3232,Positif,jangan dijual ya ..alesan merugi 😂😂😂
AGUSTIAR ADNAN,Positif,sangat spektakuler  JIS setelah masuk kedalam  menyaksilan langsung arenanya nyaman demikian
Agya22,Negatif,nyewa stadion situ mahal banget jir
Ahakim,Negatif,cman anehna knpa stadion ini semewah ini secanggih ini termegah ini blum standar pssi
Ahmad Jaelani,Negatif,"Bagus. Hanya saran, tambah kan sinyal penguat untuk hp agar bisa komunikasi dan lantainya masih banyak debu.Tks"
Ahmad Kyung Hyo Choi,Negatif,percuma keren kalau gak dipakek sama timnas kita...😅😅😅
Ahmad M.S.,Negatif,"stadion besar keren banget,sayang tidak bisa masuk stadion"
Ahmad Naufal,Positif,Mantap 👍👍 ikut bangga Jakarta punya Stadion berkelas Dunia
Ahmad putra purbalingga,Positif,"Tempatnya luas,JIS Jakarta internasional stadium,Indah,Mantap,,,"
Ahmad Qabil Hilmie,Positif,Serasa melihat Stadion Kelas Dunia d Eropa walapun lewat Foto...saya niat akan ke sana sekalian wisata Mesjid Sunda Kelapa dan Istiqlal bertemu saudara2 muslim kita dan indahnya keberagaman... No Racism...
Ahmad Rizal,Positif,Stadion baru kebanggaan warga Jakarta
ahmad rizky kurniawan,Positif,Kerennn..semoga bisa banyak mendatangkan Tim sepak bola internasional berlaga di JIS
Ahmad Sibawaihi,Positif,JIS (Jakarta internasional stadium) sering kali ke tempat stadium ini..Krn ini proyek job nya bos Ana.. stadium yg sangat bagus internasional lagi.. mantap dah bg yg ingin berkunjung ke stadium ini......
Ahmad Sofyan,Positif,Keren bagus stadion tolong jaga kebersihan ya teman teman
Ahmad Syafii,Positif,"Tempatnya bersih luas dan sangat bagus sekali,, fasilitasnya lengkap kemungkinan akan menjadi tempat favorit khususnya di daerah Jakarta."
Ahmad Syahril,Positif,Stadion terbesar di Jakarta. Dengan konsep green building. Kandang Persija Jakarta. Dengan atap buka tutup serta skyview deck yg keren.
Ahmad Syahril,Positif,Stadion terbesar di Jakarta. Dengan konsep green building. Kandang . Dengan atap buka tutup serta skyview deck yg keren.
Ahmad Wiharja,Positif,Stadion yg bagus dan sangat asri
Ahmad Yani,Negatif,ngapain lapangan mewah dan megah pemain sepak bola Indonesia tidak ada yg ahli yg masuk fifa
Ahmad Yogi736,Negatif,minus di Sporternya doang
Ahmad Yusup,Positif,Kok di google maps blm keliatan bentuk bangunannya ya??Cuma tanah kosong aja yang kliatan??Ngapah yaa?????
ahmad.flava,Negatif,bagus doang tp gak dipake buat bola
ahmadnurman8118,Positif,Ngeriiii🔥🔥
ahmadsugi,Negatif,buat timnas bawa nama negara jgn mahal2 biaya sewanya bapak2 jakpro
ahmadzaki115,Positif,65 rb penonton..dewa19..amazing👏🔥
Ahman,Positif,tolong pak fifa matchday di JIS saja
Ahsanul Imami,Positif,Keren abisss
Aidil Fatahillah,Positif,"Keren bgt Jakarta Internasional Stadium , walau saat bubar konser ada sedikit kekurangan karena mereka yg Egois tetep bawa kendaraan pribadi dan ngeyel tapi tetep JIS itu keren bgt"
aidilakbar1301,Negatif,belum standar pssi apa karna ini proker pak anis🤣
Aijul Otnay,Negatif,Nyaman kurang akses jalan ke jis
Aikah Qws,Negatif,"bagus,megah,,tpi, blum maksimal,,"
Ainal Syah Putra (MAGOD),Positif,"Sangat bagus, mewah dan modern"
Aisyah Kinara,Positif,"Cntik bgt si GK nyangka aja bisa bgun stadion di Jakarta Utara  ,klo MLM seindah ini suka bgtt pkonyaa 🤗🤗"
Aisyah Pundhiyati,Positif,"Bagusss bangetttt stadionnya,semoga bisa jadi kebanggaan Indonesia di kancah Internasional. BTS come heree💜😭"
Aiud Abbas,Positif,"jis keren pak Anis mantap, Timnas Ina, ayo juara Asia ✊"
Aizat Ahmad😼,Positif,kalau Rakyat Pun mudah panas Bagaimana nak International
Ajeng Ramadhani,Negatif,"Masih tutup, belum dibuka untuk umum..."
Aji AndrianSyah,Positif,Tampak Jakarta International Stadium dari Jalan Tol Tanjung Priok malam hari.
aji fikri,Negatif,PERSIB DILARANG WO DISINI
Aji Wibowo,Positif,Stadion bertaraf internasional di Indonesia selain GBK. Fasilitas masih banyak yang perlu finishing pembangunananya. Beberapa kali digunakan acara besar tapi belum dipakai untuk pertandingan bola. Desain kekinian dengan berbagai fasilitas yg baik. Semoga penontonnya jg bisa menjaga fasilitas tersebut.
Ajie Hooligan Blues,Positif,sumpah ni stadion terbagguss haruss nya menjamu argentina ya di jiss sii tapi sekarang laggi ga bisa di pakee jugga
AjiePrakasa,Positif,Ah gila punya stadion terbaik dunia akhir nya ☕✊
ajimaulana4567,Negatif,"Buat Acara PHBI Isra mi'raj sesekali, Jangan Hanya Menggelar konser Saja."
ajorizal,Negatif,"standard FIFA tidak standart PSSI, pantasan Indonesia susah ikut pildun"
Aju Juek,Positif,"Bisa untuk event internasional, harus dirawat, dipelihara, aset anak bangsa."
aka asia,Positif,"Stadion terbaik di Indonesia bahkan asia, tp gak layak menurut PSSi. Iya Pssi gak layak pake ini stadion karena standart PSSi ya stadion Kampung"
akbarpiandi,Negatif,Stadion khusus konser musik
akbarpiandi,Negatif,Bukan stadion buat maen bola
akbr.mfd,Positif,kalau udah jadi paling final Indonesa ama thailan di situ
akcrev,Positif,pake ini dulu pak
Akhmad Ariestoteles,Negatif,Tempat sebagus ini masih tidak direkomendasikan PSSI???😄😄😄
akhmad syukron,Positif,"Stadion yg sangat megah dan mewah, baru pertama kali masuk saja kesan nya sdh wah, mantap pemprov DKI"
AKHTAR channel,Positif,Harusnya AFF maennya disini... Semua lawan pasti akan down karena jarak penonton sangat dekat
AkunTerhapus405,Positif,"Kenapa yaa yang dibangun Pak Anis ini ga pernahh kepake, padahall Jelas Jakarta International Stadium (Jis) Itu udh keren bgtt"
Al,Positif,Masih belum jadi..Masih cetar..nanti juga adem..Ada transjakarta juga..mantappp
Al Adlu,Positif,"Stadion termegah di Indonesia, fasilitasnya lengkap."
Al Munawar,Negatif,stadion yang bagus tpi ingat keamanan nya di perhatikan
alamjaya43,Positif,Stadion begitu indah 😢. Sayangnya gak masuk piala dunia U20
alan dofa,Positif,Mantul stadion kandang
aldaffaaaaa,Negatif,"OO 2023 FUNGSI STADION UDAH BERUBAH YA , BUKAN UNTUK SEPAKBOLA TAPI UNTUK KONSER SAMA KAMPANYE 👏"
Aldi Vinoansyah,Positif,Mntapppp lezat pecelnya pedes gila
aldin1206,Positif,mantap...100 persen pekerja lokal bisa membuat stadion kelas international
Aldki Diki,Positif,gak sabar indo main ni
Aldy Rinaldi,Negatif,"What a wow stadium, keren sih cuma berharap bakal saling menjaga biar tetep bagus. buat yg dari luar kota perlu hotel murah wa aja 082283081080 bayar bisa di tempat dan dicarikan hotel terdekat dengan beberapa pilihan, siapa tau perlu, soalnya saya juga kemarin dapat bantuan dari situ"
Alexiz,Negatif,"gila keren parah gini pdhal, udh lah pssi klo gamau buat kita anak tarkam aja. sewa pun siap"
alfan_abuseha,Negatif,🔥🔥🔥 gass
Alfans_Bestofficial,Positif,Jakarta is the best
alfarizi_s,Positif,klo ujan tinggal tutup
Alfatih World,Positif,Masih dalam tahap pembangunan tapi ini sudah hampir jadi.Cukup senang dan membanggakan 😊
ALFI,Positif,kerennn
Alfian Nuril,Positif,Persiapan International Youth Championship 12 April 2022
Alfina Zorfia,Positif,"Bagus bangeet desain Jakarta Internasional Stadium ini 😍😍😍😍Parkirannya ada di basement untuk mobil dan di luar stadium. Kamar mandi tersedia, tempat sampah pun gampang ditemuin. Kereeeenn"
Alfred,Negatif,batal dah
Ali Hamzah,Positif,Stadion bertaraf internasional yang saat ini di bangun di kawasan utara jakarta untuk menggantikan stadion menteng di jakarta pusat dan lebak bulus di jakarta selatan yang di robohkan untuk kepentingan publik.
Ali Khendra,Positif,"Stadium pertama bertaraf Internasional di Kelurahan Papanggo, Kecamatan Tanjung Priok, Jakarta Utara"
Ali Rakan,Positif,Stadion yang memiliki kapasitas terbesar di indonesia 👏👏👏
Alie@@,Negatif,belum standart pssi😳🥺
aliefrizkyfadilah,Positif,Balabadik siap meramaikan🔥
alifanantatoer,Negatif,"JIS belum pas bgt buat tempat konser besar. GBK tetap harus jadi pembanding. Akses dan transportasi umum lumayan vital dan JIS belum memadai. Kalo sound ya urusan teknis penyelenggara ya. Semoga kedepannya jadi pertimbangan. Next kalo pun digunakan untuk pertandingan sepakbola nasional/internasional, pengunjung bisa merasa aman dan nyaman untuk datang ke JIS. 👍"
Aliffya Hermawan Suhertin,Negatif,Dulu banyak yang protes reklamasi . Paling enggak sedikitlah berfikir . Dengan adanya reklamasi dapat membuka lapangan kerja . Orang yang tidak mau maju adalah orang yang melawan pemerintah . Jika tidak percaya pemerintah kenapa dari awal kalian pilih . Mikir !!!
Aliman Zein,Negatif,Sayang tidak dipergunakan ...karena tidak masuk standar FIFA....berarti stadion Indonesia yg lain pastinya jauh lebih bagus dari JIS...
alina_bronya,Negatif,seandainya Smua ga mau beli tiket konser pasti mudah buat main bola... wkwkwkwk😂
Alinoet_,Positif,saran saya pak itu stadion JIS dikasih plafon pak di atap pas lapangan biar besi besi itu tidak kelihatan dan untuk menambah kerapian
Alivia Alfasir,Positif,super canggih dan modern ni jakarta internasional stadium menjadi resmi sebagai MARKAS PERSIJA JAKARTA 👍😍terimakasih pak gubenur anies baswedan dan jakpro beserta pengelolah nya #banggawargajakarta #indonesiajayaraya #jakartahajatan495 #thejakmania
all,Negatif,jdi stadion funn footbaall doang coba
Alleeee,Negatif,"Tetap aja gak kepake, karena standar FIFA bukan standar PSSI"
Allibert09,Positif,gg cuyy
alul1723,Negatif,Fungsi stadion sekarang buat konser yg penting cuan ngalir kenceng ke yg bersangkutan pasti bisa make itu stadion
Alvino Akmalexa athallah,Positif,ayo
Alvinxx7,Positif,Tpi kok pssi belum menganggap jis stadion berstandar fifa kenapa ya? Padahal kece
